concept_id,variety_id,orth,source_type,source_id,source_gloss,source_level,file,sheet,row,source_note,fallback_from
cold,ami_nt,lietec,excel,32-12,冰冷,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,973,,
few,ami_nt,adidiay,excel,32-14,少的,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,975,,
laugh,ami_nt,tawa,excel,32-16,笑,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,977,,
wet,ami_nt,raremeday,excel,32-17,濕的,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,978,,
thick,ami_nt,kivetulay,excel,32-19,厚的,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,980,,
thin,ami_nt,duhepicay,excel,32-21,薄的,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,982,,
dirty,ami_nt,uning,excel,32-22,髒,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,983,,
dry,ami_nt,malicangay,excel,32-28,乾的,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,989,,
new,ami_nt,valuhay,excel,32-31,新的,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,992,,
old,ami_nt,malumanay,excel,32-32,舊的,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,993,,
near,ami_nt,ngata,excel,32-33,近,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,994,,
bad,ami_nt,mapeciʼ,excel,32-35,壞掉,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,996,,
far,ami_nt,raay,excel,32-37,遠,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,998,,
swell,ami_nt,levawa,excel,32-38,腫,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,999,,
smooth,ami_nt,lameneng,excel,32-44,滑,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,1005,,
warm,ami_nt,diheku,excel,32-56,暖和,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,1017,,
dull,ami_nt,matalesay,excel,32-57,鈍的,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,1018,,
straight,ami_nt,mecel,excel,32-65,直,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,1026,,
full,ami_nt,matumes tu,excel,32-66,滿了,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,1027,,
wide,ami_nt,dadahal,excel,32-68,(空間)寬敞,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,1029,另作：lalahad寬廣,
correct,ami_nt,marucek,excel,32-69,正確,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,1030,,
warm,ami_nt,rengahaway,excel,32-72,溫的(水),,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,1033,,
long,ami_nt,rarayaʼ,excel,32-74,長,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,1035,,
short,ami_nt,apuruʼ,excel,32-76,短,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,1037,,
full,ami_nt,tumes,excel,32-79,滿滿,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,1040,,
wipe,ami_nt,sipu,excel,33-06,擦拭,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,1048,,
throw,ami_nt,valah,excel,34-19,丟棄,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,1069,,
count,ami_nt,sausi,excel,34-29,數(計算),,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,1079,,
good,ami_nt,kapah,excel,34-34,好,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,1084,,
not,ami_nt,caay,excel,35-03,不是(回答用),,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,1092,,
because,ami_nt,kiyami,excel,36-05,因為,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,1101,,
and,ami_nt,atu,excel,36-18,和,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,1114,,
if,ami_nt,anu,excel,36-22,如果,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,1118,,
one,ami_hk,cecay,excel,01-01,一,,2026學習詞表-02秀姑巒阿美語.xlsx,02秀姑巒阿美語,5,,
two,ami_hk,tosa^,excel,01-02,二,,2026學習詞表-02秀姑巒阿美語.xlsx,02秀姑巒阿美語,6,,
three,ami_hk,tolo^,excel,01-03,三,,2026學習詞表-02秀姑巒阿美語.xlsx,02秀姑巒阿美語,7,,
four,ami_hk,sepat,excel,01-04,四,,2026學習詞表-02秀姑巒阿美語.xlsx,02秀姑巒阿美語,8,,
five,ami_hk,lima^,excel,01-05,五,,2026學習詞表-02秀姑巒阿美語.xlsx,02秀姑巒阿美語,9,,
six,ami_hk,enem,excel,01-06,六,,2026學習詞表-02秀姑巒阿美語.xlsx,02秀姑巒阿美語,10,,
seven,ami_hk,pito^,excel,01-07,七,,2026學習詞表-02秀姑巒阿美語.xlsx,02秀姑巒阿美語,11,,
eight,ami_hk,falo^,excel,01-08,八,,2026學習詞表-02秀姑巒阿美語.xlsx,02秀姑巒阿美語,12,,
nine,ami_hk,siwa^,excel,01-09,九,,2026學習詞表-02秀姑巒阿美語.xlsx,02秀姑巒阿美語,13,,
ten,ami_hk,polo’/mo^tep,excel,01-10,十,,2026學習詞表-02秀姑巒阿美語.xlsx,02秀姑巒阿美語,14,,
